consorcio;intercept;intervention_coeff;intervention_pvalue;level_coeff;level_pvalue;r2_adj;tendency_coeff;tendency_pvalue
COMUPE;75489.857;63212.986;0.0;-45896.468;0.133;0.991;25532.464;0.0
CONDOMAR;65723.286;13801.919;0.001;2403.27;0.864;0.992;23003.589;0.0
CODEAM;50148.0;13098.356;0.0;-5297.313;0.111;0.999;12457.844;0.0
CONIAPE;42964.857;16597.852;0.0;-2070.024;0.833;0.991;10628.714;0.0
CINDESC;31026.286;1652.845;0.667;49764.286;0.01;0.944;8247.327;0.021
COMSIM;16006.97;123.85;0.963;19047.88;0.069;0.974;8723.083;0.0
COMSUL;53635.524;2419.779;0.108;22592.073;0.003;0.987;7235.149;0.0
CISAPE;35257.267;9068.278;0.0;-342.494;0.943;0.995;7228.567;0.0
CIMPAJEU;46141.111;12624.951;0.031;-15458.156;0.074;0.988;2678.708;0.612
COMANAS;64663.387;32031.014;0.01;-73933.551;0.04;0.958;10891.433;0.301
PORTAL SUL;60231.886;9891.471;0.0;41702.914;0.0;0.993;11008.764;0.0
COMAGSUL;23811.306;3863.301;0.016;3297.808;0.577;0.987;7982.496;0.0
